time (s)	det(V)
6799.192401	-0.010353	
6799.193890	-0.023574	
6799.195662	-0.029862	
6799.197145	-0.010868	
6799.198918	-0.000540	
6799.200399	-0.019932	
6799.202167	0.004117	
6799.203649	0.010292	
6799.205418	-0.016303	
6799.206908	-0.024955	
6799.208690	-0.015630	
6799.210183	-0.027646	
6799.211940	-0.027042	
6799.213455	-0.021185	
6799.215190	-0.002787	
6799.216723	-0.016581	
6799.218433	0.002989	
6799.219976	0.003738	
6799.221490	-0.015815	
6799.223129	-0.026132	
6799.224619	-0.016983	
6799.226246	-0.023312	
6799.227764	-0.022297	
6799.229401	-0.021402	
6799.230888	-0.010171	
6799.232547	-0.007875	
6799.234035	-0.014776	
6799.235689	0.000415	
6799.237173	0.000395	
6799.238870	-0.010623	
6799.240356	-0.020303	
6799.242050	-0.015142	
6799.243537	-0.030196	
6799.245199	-0.027743	
6799.246716	-0.013229	
6799.248343	-0.002574	
6799.249903	-0.011444	
6799.251595	0.003054	
6799.253159	0.004572	
6799.254839	0.000169	
6799.256416	-0.019046	
6799.258068	-0.012347	
6799.259655	-0.021032	
6799.261305	-0.023815	
6799.262906	-0.020282	
6799.264516	-0.004290	
6799.266149	-0.008645	
6799.267752	0.003871	
6799.269420	0.013999	
6799.271028	0.009092	
6799.272671	-0.014244	
6799.274242	-0.012818	
6799.275914	-0.014417	
6799.277480	-0.024871	
6799.279185	-0.021507	
6799.280736	-0.007589	
6799.282441	0.000943	
6799.283959	-0.005084	
6799.285701	0.011086	
6799.287197	0.005116	
6799.288951	-0.005281	
6799.290436	-0.018957	
6799.292209	-0.008802	
6799.293686	-0.021962	
6799.295459	-0.025189	
6799.296937	-0.016145	
6799.298694	0.002449	
6799.300195	-0.006421	
6799.301908	-0.002844	
6799.303434	0.003936	
6799.305158	-0.003533	
6799.306696	-0.021253	
6799.308417	-0.013144	
6799.309961	-0.018905	
6799.311664	-0.022035	
6799.313222	-0.017870	
6799.314920	-0.003061	
6799.316487	-0.012496	
6799.318159	-0.000745	
6799.319743	0.003992	
6799.321386	-0.006099	
6799.322975	-0.020585	
6799.324618	-0.010502	
6799.326221	-0.024069	
6799.327748	-0.031936	
6799.329381	-0.027803	
6799.330862	-0.007823	
6799.332495	-0.004121	
6799.333978	-0.007932	
6799.335615	0.006691	
6799.337090	0.005350	
6799.338717	-0.002639	
6799.340209	-0.023819	
6799.341778	-0.010397	
6799.343316	-0.017563	
6799.344955	-0.021950	
6799.346526	-0.012004	
6799.348102	0.000314	
6799.349701	-0.001873	
6799.351249	0.001640	
6799.352865	0.014756	
6799.354371	0.010220	
6799.356083	-0.008173	
6799.357687	-0.008552	
6799.359330	-0.006812	
6799.360902	-0.017406	
6799.362603	-0.013817	
6799.364167	0.005064	
6799.365870	0.005608	
6799.367412	0.000572	
6799.369136	0.012637	
6799.370678	0.003001	
6799.372406	-0.006570	
6799.373935	-0.014772	
6799.375696	-0.005639	
6799.377182	-0.026530	
6799.378976	-0.029358	
6799.380455	-0.013781	
6799.382244	-0.000101	
6799.383724	-0.020419	
6799.385498	-0.002203	
6799.386983	0.000842	
6799.388750	-0.019598	
6799.390238	-0.034466	
6799.391999	-0.028005	
6799.393496	-0.041028	
6799.395240	-0.051409	
6799.396757	-0.041810	
6799.398480	-0.025672	
6799.400010	-0.040315	
6799.401755	-0.030232	
6799.403299	-0.027658	
6799.404978	-0.040211	
6799.406548	-0.051901	
6799.408242	-0.047816	
6799.409800	-0.063514	
6799.411466	-0.067748	
6799.413043	-0.065895	
6799.414689	-0.051353	
6799.416285	-0.055317	
6799.417915	-0.052062	
6799.419536	-0.048368	
6799.421163	-0.053935	
6799.422803	-0.071063	
6799.424427	-0.068425	
6799.426092	-0.078874	
6799.427667	-0.090706	
6799.429341	-0.088051	
6799.430920	-0.077569	
6799.432605	-0.075426	
6799.434166	-0.083011	
6799.435839	-0.081275	
6799.437322	-0.079140	
6799.438964	-0.096611	
6799.440458	-0.104732	
6799.442089	-0.099072	
6799.443594	-0.117462	
6799.445164	-0.119009	
6799.446698	-0.112946	
6799.448244	-0.102452	
6799.449834	-0.111113	
6799.451428	-0.106932	
6799.453012	-0.100853	
6799.454561	-0.111460	
6799.456186	-0.128407	
6799.457693	-0.124757	
6799.459396	-0.134070	
6799.460871	-0.143364	
6799.462599	-0.144302	
6799.464074	-0.132914	
6799.465765	-0.130481	
6799.467291	-0.136713	
6799.469015	-0.124564	
6799.470495	-0.125663	
6799.472262	-0.143545	
6799.473752	-0.152174	
6799.475546	-0.148282	
6799.477030	-0.166148	
6799.478802	-0.167965	
6799.480281	-0.157680	
6799.482022	-0.150055	
6799.483522	-0.166869	
6799.485268	-0.157709	
6799.486777	-0.155578	
6799.488508	-0.175147	
6799.490036	-0.190531	
6799.491757	-0.187401	
6799.493287	-0.203188	
6799.494999	-0.216002	
6799.496549	-0.213638	
6799.498233	-0.204767	
6799.499791	-0.220897	
6799.501467	-0.223133	
6799.503046	-0.222822	
6799.504707	-0.238315	
6799.506306	-0.265551	
6799.507946	-0.270840	
6799.509540	-0.284766	
6799.511188	-0.299485	
6799.512830	-0.304291	
6799.514440	-0.299211	
6799.516098	-0.312460	
6799.517674	-0.325037	
6799.519339	-0.331180	
6799.520916	-0.338246	
6799.522580	-0.367890	
6799.524149	-0.384443	
6799.525850	-0.401845	
6799.527394	-0.420810	
6799.529115	-0.432327	
6799.530647	-0.434527	
6799.532381	-0.442330	
6799.533886	-0.466790	
6799.535631	-0.470822	
6799.537113	-0.487052	
6799.538893	-0.522546	
6799.540386	-0.550212	
6799.542158	-0.564468	
6799.543639	-0.598890	
6799.545250	-0.617292	
6799.546764	-0.632869	
6799.548314	-0.639359	
6799.549914	-0.672028	
6799.551409	-0.679416	
6799.553070	-0.703876	
6799.554546	-0.732260	
6799.556166	-0.775963	
6799.557680	-0.795847	
6799.559321	-0.822869	
6799.560798	-0.859079	
6799.562504	-0.887596	
6799.563985	-0.896281	
6799.565689	-0.919412	
6799.567174	-0.954905	
6799.568877	-0.970160	
6799.570363	-0.999692	
6799.572093	-1.041244	
6799.573580	-1.084561	
6799.575331	-1.107683	
6799.576829	-1.142190	
6799.578579	-1.177554	
6799.580091	-1.191782	
6799.581821	-1.211384	
6799.583346	-1.249710	
6799.585032	-1.264514	
6799.586582	-1.290057	
6799.588278	-1.335287	
6799.589840	-1.384038	
6799.591532	-1.408522	
6799.593101	-1.453986	
6799.594774	-1.493862	
6799.596353	-1.522677	
6799.598002	-1.540595	
6799.599605	-1.574292	
6799.601235	-1.610035	
6799.602854	-1.625963	
6799.604487	-1.629894	
6799.606117	-1.630072	
6799.607713	-1.629987	
6799.609352	-1.630088	
6799.610919	-1.629882	
6799.612615	-1.630048	
6799.614175	-1.629931	
6799.615892	-1.630116	
6799.617438	-1.629999	
6799.619152	-1.630156	
6799.620708	-1.630023	
6799.622413	-1.630027	
6799.623963	-1.629943	
6799.625700	-1.630019	
6799.627197	-1.629975	
6799.628961	-1.630068	
6799.630439	-1.630031	
6799.632216	-1.630144	
6799.633698	-1.630116	
6799.635469	-1.630003	
6799.636961	-1.630116	
6799.638747	-1.630100	
6799.640231	-1.630128	
6799.641996	-1.630019	
6799.643496	-1.630124	
6799.645235	-1.630044	
6799.646751	-1.629991	
6799.648466	-1.629999	
6799.649997	-1.630136	
6799.651514	-1.630148	
6799.653096	-1.630076	
6799.654581	-1.630092	
6799.656219	-1.630176	
6799.657730	-1.630140	
6799.659377	-1.630140	
6799.660850	-1.630084	
6799.662497	-1.630076	
6799.663977	-1.630172	
6799.665619	-1.630152	
6799.667108	-1.630044	
6799.668815	-1.630112	
6799.670314	-1.630104	
6799.671988	-1.630092	
6799.673470	-1.630084	
6799.675132	-1.630100	
6799.676647	-1.630176	
6799.678283	-1.630040	
6799.679835	-1.630104	
6799.681434	-1.630060	
6799.683029	-1.630176	
6799.684681	-1.629979	
6799.686275	-1.630031	
6799.687898	-1.630040	
6799.689505	-1.630209	
6799.691113	-1.630003	
6799.692769	-1.630189	
6799.694382	-1.629979	
6799.696040	-1.630189	
6799.697628	-1.630052	
6799.699306	-1.630132	
6799.700893	-1.630092	
6799.702579	-1.630185	
6799.704139	-1.630096	
6799.705826	-1.630140	
6799.707377	-1.630160	
6799.709059	-1.630160	
6799.710586	-1.630180	
6799.712325	-1.630064	
6799.713800	-1.630100	
6799.715568	-1.630168	
6799.717056	-1.630080	
6799.718837	-1.630088	
6799.720321	-1.630136	
6799.722077	-1.630172	
6799.723565	-1.630096	
6799.725340	-1.630177	
6799.726831	-1.630188	
6799.728577	-1.630104	
6799.730089	-1.630019	
6799.731822	-1.630040	
6799.733340	-1.630156	
6799.735043	-1.630048	
6799.736590	-1.630168	
6799.738300	-1.630040	
6799.739857	-1.630180	
6799.741548	-1.630056	
6799.743103	-1.630188	
6799.744775	-1.630068	
6799.746355	-1.630172	
6799.748012	-1.630072	
6799.749606	-1.630084	
6799.751231	-1.629967	
6799.752857	-1.630148	
6799.754457	-1.630019	
6799.756140	-1.630019	
6799.757635	-1.630124	
6799.759265	-1.630197	
6799.760749	-1.630164	
6799.762383	-1.630132	
6799.763873	-1.630112	
6799.765499	-1.630052	
6799.766997	-1.630176	
6799.768596	-1.630084	
6799.770119	-1.630160	
6799.771686	-1.630132	
6799.773220	-1.630044	
