time (s)	magX	magY	magZ
2840.865499	-53.302162	-187.258911	-1243.483398
2840.868848	-54.646408	-165.517242	-1245.645752
2840.872157	-54.646408	-144.535370	-1246.171875
2840.875490	-55.990646	-122.910583	-1246.054932
2840.878397	-57.393337	-100.467560	-1245.937988
2840.881731	-58.854473	-77.556984	-1244.301636
2840.885054	-59.906490	-55.873756	-1239.801270
2840.888391	-60.724724	-33.372299	-1235.943848
2840.891729	-62.302746	-12.098188	-1229.807129
2840.895061	-63.646992	11.221508	-1222.676758
2840.898411	-64.582115	32.670956	-1217.942749
2840.901730	-65.692581	54.412621	-1207.422485
2840.905127	-66.335472	76.037407	-1198.831055
2840.908398	-67.095268	97.662186	-1189.713623
2840.911745	-68.264175	119.228516	-1178.433716
2840.915059	-68.965515	139.158386	-1165.692627
2840.918398	-69.549973	160.081833	-1154.704834
2840.921727	-70.251312	180.362350	-1141.028564
2840.925058	-70.894211	199.006424	-1128.053711
2840.928394	-71.537109	218.410278	-1114.085327
2840.931726	-72.238457	236.177689	-1099.298706
2840.935056	-72.472237	254.178833	-1084.804199
2840.938390	-72.413788	271.069550	-1070.952759
2840.941746	-73.173584	288.194031	-1054.003540
2840.945058	-73.641144	304.500305	-1037.288086
2840.948387	-73.699593	320.981873	-1020.806519
2840.951724	-74.167160	335.593231	-1005.084717
2840.955990	-74.693161	365.341888	-970.192932
2840.959313	-74.517830	378.492126	-953.711304
2840.962688	-74.810051	391.233215	-935.534790
2840.965910	-75.511398	403.857361	-917.241394
2840.969236	-75.336060	415.312683	-899.357117
2840.972178	-76.095848	426.651093	-882.232544
2840.975480	-76.388077	437.580353	-863.997681
2840.978806	-76.680305	446.814728	-845.295166
2840.982137	-77.323204	456.458221	-826.884827
2840.985059	-77.323204	464.172974	-808.240784
2840.988389	-77.498535	471.946228	-790.414978
2840.991715	-77.907654	480.420837	-772.998230
2840.995057	-78.199883	487.083588	-754.821716
2840.998381	-78.959671	492.694336	-737.872620
2841.001720	-78.550552	498.246613	-721.157227
2841.005092	-78.725891	504.149628	-703.682068
2841.008384	-78.901222	507.948578	-685.914673
2841.011718	-79.135010	511.455292	-669.959045
2841.015078	-79.368790	514.260681	-652.074829
2841.018384	-80.070129	516.773804	-636.995911
2841.021713	-79.719460	518.877869	-621.040344
2841.025052	-79.953239	520.572754	-605.610779
2841.028385	-79.953239	521.741699	-589.713623
2841.031711	-80.771477	522.442993	-575.043823
2841.035049	-80.537697	523.962585	-560.666260
2841.038378	-80.245468	523.553467	-546.347168
2841.041708	-80.654587	524.137939	-533.196960
2841.045052	-80.771477	523.085937	-518.527161
2841.048379	-80.829926	523.144348	-505.669220
2841.051738	-80.420807	521.390991	-493.395660
2841.055049	-80.537697	520.280579	-480.420837
2841.058381	-80.245468	518.819458	-467.738159
2841.061715	-79.661018	516.773804	-456.049103
2841.065965	-79.427238	512.682617	-432.787842
2841.069294	-79.368790	511.279968	-421.507874
2841.072558	-78.784332	508.649933	-409.468140
2841.075920	-78.492111	505.610748	-399.064880
2841.079226	-78.082993	503.214508	-389.129150
2841.082135	-78.316772	499.649323	-379.018127
2841.085465	-77.381645	496.201050	-368.439514
2841.088822	-77.206314	493.220337	-358.854462
2841.092152	-77.030975	490.531860	-348.334320
2841.095078	-76.446518	487.200439	-339.333740
2841.098373	-76.154297	484.278198	-329.982483
2841.101730	-76.271187	480.070129	-320.455872
2841.105044	-75.569847	475.803619	-312.331970
2841.108374	-75.628288	472.764435	-302.922272
