time (s)	theta (A)	maj axis/z0	min axis/z0	crossing#mod 255
3142.169016	180.093262	0.066787	-0.100000	177
3144.204458	89.247581	1.138635	-0.042759	179
3146.227341	88.520966	1.076580	-0.032291	181
3148.227127	90.678032	0.997470	-0.029587	183
3150.232015	91.869637	0.884377	-0.034567	185
3152.262512	91.022026	0.796336	-0.035876	187
3154.301758	89.587059	0.728508	-0.032297	189
3156.332894	88.976028	0.668544	-0.026473	191
3158.348624	89.307106	0.613495	-0.023309	193
3160.356326	89.844109	0.556979	-0.021945	195
3162.363690	90.030228	0.501654	-0.020630	197
