crossing time (s)	slope (V/s)	crossing number
4986.653267	98.729751	2789
4987.651765	92.351431	2790
4988.637699	90.411945	2791
4989.626667	91.252051	2792
4990.669016	86.786183	2793
4991.625054	91.083662	2794
4992.698540	84.251005	2795
4993.628300	90.407553	2796
4994.713309	83.339225	2797
4995.655308	91.682992	2798
4996.690668	86.438629	2799
4997.689707	86.129980	2800
4998.691772	83.619894	2801
4999.701387	83.571680	2802
5000.727853	84.030104	2803
5001.728481	83.439031	2804
5002.743248	79.749403	2805
5003.736502	79.649720	2806
5004.768548	75.597241	2807
5005.726032	75.623194	2808
5006.793158	75.159141	2809
5007.757573	70.712419	2810
5008.794541	74.046863	2811
5009.766657	67.125677	2812
5010.816738	71.795147	2813
5011.791544	67.148571	2814
5012.821224	68.198509	2815
5013.818563	65.374474	2816
5014.817993	64.517177	2817
5015.834936	63.133462	2818
5016.830711	60.912269	2819
5017.838130	61.876011	2820
5018.851429	59.337950	2821
5019.836878	60.563883	2822
5020.871510	59.700282	2823
5021.870454	57.893030	2824
5022.874394	57.213488	2825
5023.890003	55.325569	2826
5024.887276	53.830914	2827
5025.874812	53.764091	2828
5026.901202	51.925283	2829
5027.889526	51.767425	2830
5028.944600	49.393271	2831
5029.902515	49.802516	2832
5030.944203	47.295841	2833
5031.889992	48.599598	2834
5032.967040	46.717819	2835
5033.925801	46.560029	2836
5034.986951	44.631695	2837
5035.936897	44.307028	2838
5036.998209	43.694576	2839
5037.931024	42.786297	2840
5038.990842	41.870434	2841
5039.982737	41.736364	2842
5041.000778	41.193705	2843
5041.996751	40.678063	2844
5043.006798	39.758897	2845
5044.017862	39.386745	2846
5045.021407	38.095023	2847
5046.009651	39.187354	2848
5047.049739	36.756889	2849
5048.022318	36.823235	2850
5049.084108	35.018084	2851
5050.021316	34.860601	2852
5051.086682	34.251626	2853
5052.024152	33.193945	2854
5053.099175	31.958195	2855
5054.034455	32.657948	2856
5055.123034	31.713956	2857
5056.043544	31.547896	2858
5057.137101	30.427059	2859
5058.052992	30.271674	2860
5059.154384	29.226455	2861
5060.073194	28.675225	2862
5061.172042	28.275058	2863
5062.080269	27.613181	2864
5063.183220	27.281443	2865
5064.103431	27.188721	2866
5065.189737	27.602352	2867
5066.119504	25.499875	2868
5067.197937	26.123173	2869
5068.139099	25.125842	2870
5069.191618	25.590073	2871
5070.170454	25.163485	2872
5071.177712	24.242799	2873
5072.197562	23.646654	2874
5073.193453	22.893967	2875
5074.205755	23.376885	2876
5075.228758	22.314003	2877
5076.213384	21.875433	2878
5077.251152	20.866816	2879
5078.213178	20.617539	2880
5079.273525	20.353477	2881
5080.211380	19.908963	2882
5081.303840	19.597334	2883
5082.205609	19.545178	2884
5083.323346	19.402192	2885
5084.221335	18.284157	2886
5085.338114	18.345479	2887
5086.223017	17.341494	2888
5087.350827	18.086461	2889
5088.238076	16.673852	2890
5089.339919	17.009446	2891
5090.280782	16.238986	2892
5091.372733	16.283959	2893
5092.297866	16.390149	2894
5093.361984	16.146580	2895
5094.311805	15.255766	2896
5095.389256	15.831135	2897
5096.328185	14.657503	2898
5097.405120	14.647768	2899
5098.327315	13.824692	2900
5099.413825	13.946263	2901
5100.326069	14.454597	2902
5101.436365	13.454873	2903
5102.353466	12.705843	2904
5103.470763	12.329154	2905
